Order_Date,Ship_Date,Product_Type,Product_Sub_Category,Unit_Price,QtyOrdered,Profit,Sales
2010-01-02,2010-01-04,Processed Meat,Bacon,40.98,3,-19.099200000000003,124.81
2010-01-02,2010-01-09,Processed Meat,Fresh Water Eel,155.06,8,845.6639999999999,1225.6
2010-01-02,2010-01-04,Processed Meat,Smoked Salmon,9.11,4,20.2996,34.41
2010-01-02,2010-01-02,Processed Meat,Smoked Salmon,15.04,11,108.5163,157.27
2010-01-03,2010-01-04,Processed Meat,Foie Gras,4.26,29,9.82,122.23
2010-01-03,2010-01-04,Processed Meat,Foie Gras,4.26,7,18.658,29.5
2010-01-03,2010-01-05,Canned Foods,Assorted Fruits,43.22,3,280.27458,130.62
2010-01-03,2010-01-10,Canned Foods,Sliced Pineapple,574.74,12,-112.4263,6945.16
2010-01-03,2010-01-07,Processed Meat,Smoked Salmon,10.14,3,24.924,30.94
2010-01-03,2010-01-05,Canned Foods,Sliced Pineapple,213.45,1,-560.81418,224.12
2010-01-05,2010-01-06,Processed Meat,Fresh Water Eel,5.98,11,-781.1342,65.85
2010-01-06,2010-01-08,Preserved Food,Sundried Tomatoes,150.98,6,131.382,958.46
2010-01-06,2010-01-08,Processed Meat,Fresh Water Eel,28.28,12,-89.292,368.84
2010-01-06,2010-01-07,Canned Foods,Quail Eggs,35.99,1,-211.036,30.86
2010-01-06,2010-01-07,Canned Foods,Assorted Fruits,1.7,7,80.0712,12.15
2010-01-06,2010-01-08,Processed Meat,Smoked Salmon,30.98,9,896.406,288.42
2010-01-06,2010-01-08,Processed Meat,Foie Gras,3.28,7,-90.7556,24.57
2010-01-07,2010-01-08,Processed Meat,Bacon,15.99,12,-246.92615999999998,192.33
2010-01-10,2010-01-15,Canned Foods,Sliced Pineapple,297.64,12,-48.971999999999994,3707.05
2010-01-10,2010-01-11,Processed Meat,Smoked Salmon,6.48,4,-105.68520000000001,28.2
2010-01-11,2010-01-18,Canned Foods,Sliced Pineapple,399.98,5,28.5141,1839.91
2010-01-13,2010-01-13,Processed Meat,Smoked Salmon,48.04,3,105.25259999999999,152.54
2010-01-13,2010-01-15,Processed Meat,Smoked Salmon,5.98,13,-41.9727,77.42
2010-01-14,2010-01-16,Canned Foods,Sliced Pineapple,115.99,5,-272.860884,562.93
2010-01-14,2010-01-17,Processed Meat,Foie Gras,4.28,7,10.5792,29.18
2010-01-15,2010-01-16,Preserved Food,Marmalade,8.09,6,15.984,48.25
2010-01-15,2010-01-16,Processed Meat,Foie Gras,2.88,2,-172.71800000000002,5.5
2010-01-16,2010-01-20,Preserved Food,Marmalade,22.72,9,-678.496,202.41
2010-01-17,2010-01-19,Processed Meat,Caviar,90.48,1,15.354,99.69
2010-01-17,2010-01-17,Processed Meat,Smoked Salmon,22.84,7,-357.924,152.49
2010-01-17,2010-01-18,Processed Meat,Foie Gras,28.15,10,-66.248,282.38
2010-01-17,2010-01-20,Processed Meat,Jelly Fish,14.81,3,-220.05200000000002,45.28
2010-01-17,2010-01-19,Processed Meat,Smoked Salmon,4.2,3,20.393369999999997,13.57
2010-01-19,2010-01-19,Processed Meat,Foie Gras,2.88,10,5.7532000000000005,26.38
2010-01-20,2010-01-21,Processed Meat,Jelly Fish,60.22,9,-193.914,541.76
2010-01-21,2010-01-22,Preserved Food,Sundried Tomatoes,355.98,8,882.9300000000001,2748.21
2010-01-21,2010-01-22,Processed Meat,Smoked Salmon,19.98,5,6.680399999999999,93.19
2010-01-22,2010-01-24,Processed Meat,Oysters (Clam),2.89,12,441.594,33.02
2010-01-22,2010-01-23,Preserved Food,Jams,217.85,10,394.17,2273.1
2010-01-23,2010-01-25,Processed Meat,Smoked Salmon,30.98,11,-28.798000000000002,343.79
2010-01-24,2010-01-24,Processed Meat,Jelly Fish,14.42,6,-13.826,89.91
2010-01-25,2010-01-26,Preserved Food,Marmalade,1.74,1,-11.0732,2.77
2010-01-25,2010-01-28,Canned Foods,Quail Eggs,125.99,4,17.652,408.66
2010-01-26,2010-01-27,Canned Foods,Sliced Pineapple,150.98,8,-3.9479999999999995,1183.82
2010-01-26,2010-01-27,Preserved Food,Sundried Tomatoes,25.98,4,57.546,107.66
2010-01-26,2010-01-27,Processed Meat,Fresh Water Eel,32.48,10,-333.4254,318.83
2010-01-28,2010-01-29,Processed Meat,Smoked Salmon,6.88,36,34.068000000000005,267.53
2010-01-28,2010-02-06,Processed Meat,Jelly Fish,59.98,1,-54.622,63.48
2010-01-28,2010-02-01,Processed Meat,Bacon,5.18,9,-126.81418000000001,47.64
2010-01-28,2010-01-29,Processed Meat,Smoked Salmon,6.88,9,46.14719999999999,66.88
2010-01-28,2010-01-28,Processed Meat,Fresh Water Eel,32.48,8,-1116.3348,274.91
2010-01-28,2010-01-29,Processed Meat,Smoked Salmon,55.48,1,-28.2968,67.49
2010-01-28,2010-01-30,Processed Meat,Foie Gras,1.68,1,-5.3072,2.25
2010-01-29,2010-01-31,Canned Foods,Quail Eggs,95.99,4,34.302,320.75
2010-01-31,2010-02-02,Processed Meat,Smoked Salmon,6.98,9,-343.868,64.48
2010-02-01,2010-02-03,Canned Foods,Sliced Pineapple,80.97,10,-15.1844,799.76
2010-02-03,2010-02-05,Canned Foods,Quail Eggs,35.99,7,-120.934,227.79
2010-02-04,2010-02-08,Processed Meat,Foie Gras,2.94,1,-4.2,3.51
2010-02-04,2010-02-06,Processed Meat,Oysters (Clam),4.91,12,99.19800000000001,61.87
2010-02-04,2010-02-05,Processed Meat,Smoked Salmon,7.28,6,136.0314,48.88
2010-02-04,2010-02-07,Processed Meat,Smoked Salmon,6.68,3,-100.072,21.56
2010-02-04,2010-02-06,Processed Meat,Bacon,12.97,2,5.465999999999999,26.37
2010-02-04,2010-02-06,Processed Meat,Tuna,5.81,9,-149.1182,53.44
2010-02-05,2010-02-06,Canned Foods,Sliced Pineapple,500.98,10,2699.9838,3913.02
2010-02-05,2010-02-07,Processed Meat,Fresh Water Eel,178.47,1,-170.98,180.14
